timestamp,福岡-大阪,福岡-京都,大阪-石川,京都-石川,石川-大阪,石川-京都,大阪-福岡,京都-福岡,福岡-香川,香川-福岡
05/04 16:20,8000,8000,5100,5100,5300,5300,7000,7000,7000,7000
05/04 17:21,8000,8000,5100,5100,5300,5300,7000,7000,7000,7000
05/04 18:21,8000,8000,5100,5100,5300,5300,7000,7000,7000,7000
05/04 19:21,8000,8000,5100,5100,5300,5300,7000,7000,7000,7000
05/04 20:22,8000,8000,5100,5100,5300,5300,7000,7000,7000,7000
05/04 21:22,8000,8000,5100,5100,5300,5300,7000,7000,7000,7000
05/04 22:22,8000,8000,5100,5100,5300,5300,7000,7000,7000,7000
05/04 23:23,8000,8000,5100,5100,5300,5300,7000,7000,7000,7000
05/04 23:54,8000,8000,5100,5100,5300,5300,7000,7000,6560,5760
05/04 23:55,8000,8000,5100,5100,5300,5300,7000,7000,6560,5760
